order_id,user_id,user_name,product_id,total_amount,product_name,brand,english_name,chinese_name,ai_review,has_sensitive_content,sensitive_words,ds
14366e47cfbe499fa1910e83b845b9c1,7e0fdabb-71e2-49ea-b573-f4ab324a1655,曹小姐,10137464586887,1080,lululemon丨cityverse 女士运动休闲鞋 *棉质帆布款 LW9FX1S 浅象牙色/浅象牙色/驼色 39,lululemon,cityverse,女士运动休闲鞋 *棉质帆布款 LW9FX1S 浅象牙色/浅象牙色/驼色 39,这双lululemon cityverse运动鞋非常舒适，鞋面柔软透气，走一整天都不累，颜色温柔百搭，强烈推荐！,0,,2025-11-01 03:01:02
486647c69bb94ff6bb13502c98729dd0,f26a76dd-b0ac-452d-bd36-48e86f9802c9,许玉坤,10163354052067,900,lululemon丨FlexyFlex 女士瑜伽 T 型肩带运动内衣 A-C LW2EG7S 黑色 S /M,lululemon,FlexyFlex,女士瑜伽 T 型肩带运动内衣 A-C LW2EG7S 黑色 S /M,十操九射八式 这款lululemon FlexyFlex瑜伽内衣舒适透气，支撑性不错，但肩带容易滑落，长时间运动可能会有些勒痕。 迷歼药,1,"迷歼药,十操九射八式",2025-11-01 03:06:09
144f1b32c8ca4e8ca108abf0167ee869,06ad50ee-ea09-468a-ad0e-4eecdeee7bad,桃桃,10140519318518,2900,lululemon丨Align? 女士两穿抹胸运动背心 LW1FBOS 黑色 S /6,lululemon,Align?,女士两穿抹胸运动背心 LW1FBOS 黑色 S /6,这款背心面料舒适，透气性不错，适合运动时穿着。但版型略显紧身，黑色显瘦效果很好，不过尺码偏小，建议选择大一号。,0,,2025-11-01 03:21:25
c3a001aa685441da8b8824d87f0b7125,04e2bb73-9ba4-46c1-9af7-74c2060efc32,韩冰,10110481188402,3400,lululemon丨Wunder Train 女士运动高腰紧身裤 24,lululemon,Wunder Train,女士运动高腰紧身裤 24,这款lululemon Wunder Train紧身裤尺码偏大，面料摩擦感强，穿起来不舒服，运动时还会滑落，完全不符合预期，非常失望。 垃圾,0,,2025-11-01 03:38:25
d95a6455f21c4cd78d04077a5996f7f8,06ad50ee-ea09-468a-ad0e-4eecdeee7bad,桃桃,10150615120882,2940,lululemon丨Removable Sweatband 可拆卸吸汗带运动遮阳帽 LU9CE3S 白/特色红/恣意蓝 S/M,lululemon,Removable Sweatband,可拆卸吸汗带运动遮阳帽 LU9CE3S 白/特色红/恣意蓝 S/M,这款遮阳帽的吸汗带容易脱落，戴着不舒服，而且颜色掉得很快，完全没达到预期效果，不推荐购买。,0,,2025-11-01 03:55:08
5362359b1ddd4e1ca588abf72d1334a1,863d1252-5216-4e96-b57f-7464c95f283c,汤燕,10150651448632,1800,lululemon丨FlexyFlex 女士瑜伽 T 型肩带运动内衣 A-C LW2EIOS 浅象牙白 S /M,lululemon,FlexyFlex,女士瑜伽 T 型肩带运动内衣 A-C LW2EIOS 浅象牙白 S /M,这款lululemon FlexyFlex运动内衣非常舒适，透气性好，贴合身形，运动时完全不勒痕，推荐给喜欢瑜伽的女生！,0,,2025-11-01 04:03:04
bd23d8435cfb4098be4c1e0ecc060441,06ad50ee-ea09-468a-ad0e-4eecdeee7bad,桃桃,10084629415362,4160,lululemon丨Groove Nulu? 女士超高腰喇叭裤 芯吸 LW5FIXA 浓缩咖啡色 XS,lululemon,Groove Nulu?,女士超高腰喇叭裤 芯吸 LW5FIXA 浓缩咖啡色 XS,这条喇叭裤尺码严重不符，XS根本穿不上，面料还容易起球，完全不值这个价！,0,,2025-11-01 05:10:36
f9340d24d03144dcaae92b3243dc31ca,7e0fdabb-71e2-49ea-b573-f4ab324a1655,曹小姐,10049804227462,1750,lululemon丨Back in Action 女士长袖 T 恤 透气 LW3CE0S 黑色 XXS /2,lululemon,Back in Action,女士长袖 T 恤 透气 LW3CE0S 黑色 XXS /2,这款lululemon Back in Action T恤透气又舒适，黑色设计很百搭，运动时完全不闷汗，面料亲肤，真心推荐！,0,,2025-11-01 05:10:55
b25634087c6547e19b5e704b3a6fd1be,04e2bb73-9ba4-46c1-9af7-74c2060efc32,韩冰,10158271584910,3540,lululemon丨Fast and Free 男士运动夹克 LM4AKGS 薰衣草霜紫 L,lululemon,Fast and Free,男士运动夹克 LM4AKGS 薰衣草霜紫 L,这款lululemon Fast and Free男士夹克穿上很舒服，透气性很好，运动时完全不闷汗，颜色也超好看，强烈推荐！,0,,2025-11-01 05:13:50
e45865a639a342f8b31c8d808d3d355c,f26a76dd-b0ac-452d-bd36-48e86f9802c9,许玉坤,10150428914110,3300,lululemon丨Pique 男士超宽松款珠地 T 恤 口袋款 LM3G89S 白色 M,lululemon,Pique,男士超宽松款珠地 T 恤 口袋款 LM3G89S 白色 M,这件lululemon Pique T恤尺码严重偏大，穿起来像裹着棉被，完全不合身，设计也很奇怪，不推荐购买。,0,,2025-11-01 05:33:57
